chr,strand,coordinate,region,region_start,region_end,gene
Chr1,-,742652,3UTR,741972,742880,LOC_Os01g02350
Chr1,+,748903,3UTR,748570,749245,LOC_Os01g02360
Chr1,-,752091,3UTR,751780,752946,LOC_Os01g02370
Chr1,-,767180,3UTR,766870,767381,LOC_Os01g02390
Chr1,-,767226,3UTR,766870,767381,LOC_Os01g02390
Chr1,+,773846,3UTR,773543,774151,LOC_Os01g02400
Chr1,-,804082,3UTR,803784,804298,LOC_Os01g02490
Chr1,-,841480,intron,841375,841633,LOC_Os01g02550
Chr1,+,847400,3UTR,847275,847754,LOC_Os01g02560
Chr1,-,851882,3UTR,851601,852248,LOC_Os01g02570
Chr1,-,857748,3UTR,857309,857956,LOC_Os01g02580
Chr1,-,862623,3UTR,862279,864120,LOC_Os01g02590
Chr1,-,864589,CDS,864490,865208,LOC_Os01g02590
Chr1,+,869357,3UTR,869064,869711,LOC_Os01g02600
Chr1,-,920994,3UTR,920692,921270,LOC_Os01g02700
Chr1,+,925222,3UTR,925176,925823,LOC_Os01g02710
Chr1,-,929833,3UTR,929583,930106,LOC_Os01g02720
Chr1,-,929883,3UTR,929583,930106,LOC_Os01g02720
Chr1,-,935405,3UTR,934926,935573,LOC_Os01g02730
Chr1,+,956815,3UTR,956640,957117,LOC_Os01g02750
Chr1,-,957730,3UTR,957259,957906,LOC_Os01g02760
Chr1,+,965332,3UTR,965152,965799,LOC_Os01g02770
Chr1,-,969333,3UTR,969008,969486,LOC_Os01g02780
Chr1,-,972233,CDS,972191,972363,LOC_Os01g02780
Chr1,+,977684,intron,977161,978398,LOC_Os01g02790
Chr1,-,984359,3UTR,984001,984509,LOC_Os01g02800
Chr1,-,994709,3UTR,994410,994909,LOC_Os01g02830
Chr1,-,994766,3UTR,994410,994909,LOC_Os01g02830
Chr1,-,1001009,3UTR,1000644,1001291,LOC_Os01g02850
Chr1,-,1002099,3UTR,1001811,1002458,LOC_Os01g02860
Chr1,+,1012330,3UTR,1012136,1012710,LOC_Os01g02870
Chr1,+,1019436,3UTR,1019247,1019845,LOC_Os01g02880
Chr1,+,1030103,3UTR,1029726,1030412,LOC_Os01g02884
Chr1,+,1053166,3UTR,1052896,1053466,LOC_Os01g02890
Chr1,-,1057231,3UTR,1056837,1057402,LOC_Os01g02900
Chr1,-,1066435,3UTR,1066148,1066677,LOC_Os01g02910
Chr1,-,1066575,3UTR,1066148,1066677,LOC_Os01g02910
Chr1,-,1072187,3UTR,1071662,1072448,LOC_Os01g02920
Chr1,-,1072357,3UTR,1071662,1072448,LOC_Os01g02920
Chr1,-,1078564,3UTR,1078211,1078773,LOC_Os01g02930
Chr1,-,1089872,3UTR,1089443,1090193,LOC_Os01g02940
Chr1,-,1089988,3UTR,1089443,1090193,LOC_Os01g02940
Chr1,-,1090107,3UTR,1089443,1090193,LOC_Os01g02940
Chr1,+,1106744,3UTR,1106521,1107190,LOC_Os01g02960
Chr1,+,1106845,3UTR,1106521,1107190,LOC_Os01g02960
Chr1,-,1145830,3UTR,1145529,1146104,LOC_Os01g03020
Chr1,-,1149624,intron,1149406,1151195,LOC_Os01g03020
Chr1,-,1155249,3UTR,1154913,1155625,LOC_Os01g03030
Chr1,-,1155330,3UTR,1154913,1155625,LOC_Os01g03030
Chr1,-,1155870,intron,1155686,1156099,LOC_Os01g03030
Chr1,-,1160250,3UTR,1159852,1160369,LOC_Os01g03040
Chr1,+,1168237,3UTR,1167872,1168715,LOC_Os01g03050
Chr1,+,1168417,3UTR,1167872,1168715,LOC_Os01g03050
Chr1,+,1168473,3UTR,1167872,1168715,LOC_Os01g03050
Chr1,-,1168509,3UTR,1168347,1168903,LOC_Os01g03060
Chr1,-,1168647,3UTR,1168347,1168903,LOC_Os01g03060
Chr1,-,1170980,intron,1170492,1171012,LOC_Os01g03060
Chr1,-,1171901,3UTR,1171509,1172178,LOC_Os01g03070
Chr1,-,1172599,CDS,1172179,1172687,LOC_Os01g03070
Chr1,-,1173237,CDS,1173214,1173415,LOC_Os01g03070
Chr1,-,1174111,CDS,1173966,1174169,LOC_Os01g03070
Chr1,-,1174704,CDS,1174671,1174880,LOC_Os01g03070
Chr1,-,1174951,intron,1174881,1174952,LOC_Os01g03070
Chr1,+,1182180,3UTR,1181960,1182458,LOC_Os01g03080
Chr1,+,1186650,3UTR,1186459,1187007,LOC_Os01g03090
Chr1,-,1186829,3UTR,1185960,1187128,LOC_Os01g03100
Chr1,-,1198749,3UTR,1198387,1198987,LOC_Os01g03110
Chr1,-,1198828,3UTR,1198387,1198987,LOC_Os01g03110
Chr1,-,1217318,3UTR,1216706,1217479,LOC_Os01g03130
Chr1,-,1223133,3UTR,1222605,1224326,LOC_Os01g03144
Chr1,-,1224011,3UTR,1222605,1224326,LOC_Os01g03144
Chr1,+,1236749,3UTR,1236707,1237242,LOC_Os01g03160
Chr1,+,1242481,3UTR,1242352,1242999,LOC_Os01g03170
Chr1,+,1242660,3UTR,1242352,1242999,LOC_Os01g03170
Chr1,+,1251422,3UTR,1251035,1251748,LOC_Os01g03180
Chr1,+,1255535,3UTR,1255360,1255935,LOC_Os01g03190
Chr1,-,1333620,3UTR,1333104,1333751,LOC_Os01g03290
Chr1,-,1338240,3UTR,1337929,1338493,LOC_Os01g03310
Chr1,-,1338365,3UTR,1337929,1338493,LOC_Os01g03310
Chr1,-,1341355,3UTR,1341019,1341620,LOC_Os01g03320
Chr1,-,1344587,3UTR,1344257,1345246,LOC_Os01g03330
Chr1,-,1344860,3UTR,1344257,1345246,LOC_Os01g03330
Chr1,-,1345120,3UTR,1344257,1345246,LOC_Os01g03330
Chr1,-,1347664,3UTR,1347267,1347941,LOC_Os01g03340
Chr1,-,1353713,3UTR,1353329,1353981,LOC_Os01g03360
Chr1,-,1363481,3UTR,1363216,1363709,LOC_Os01g03380
Chr1,-,1365603,3UTR,1365208,1365855,LOC_Os01g03390
Chr1,-,1365676,3UTR,1365208,1365855,LOC_Os01g03390
Chr1,+,1385308,3UTR,1385085,1385732,LOC_Os01g03440
Chr1,-,1401418,3UTR,1400856,1401503,LOC_Os01g03480
Chr1,-,1402905,intron,1401522,1403081,LOC_Os01g03480
Chr1,+,1407053,3UTR,1406828,1407487,LOC_Os01g03490
Chr1,-,1411009,3UTR,1410687,1411136,LOC_Os01g03500
Chr1,+,1418977,3UTR,1418655,1419343,LOC_Os01g03510
Chr1,+,1419169,3UTR,1418655,1419343,LOC_Os01g03510
Chr1,+,1427665,3UTR,1427542,1428349,LOC_Os01g03520
Chr1,+,1436811,3UTR,1436497,1437111,LOC_Os01g03530
Chr1,+,1445636,3UTR,1445366,1445989,LOC_Os01g03549
Chr1,+,1445758,3UTR,1445366,1445989,LOC_Os01g03549
Chr1,+,1450346,3UTR,1450088,1450773,LOC_Os01g03570
Chr1,-,1490475,3UTR,1490173,1490797,LOC_Os01g03630
Chr1,-,1497232,3UTR,1496940,1497542,LOC_Os01g03640
Chr1,-,1497300,3UTR,1496940,1497542,LOC_Os01g03640
Chr1,-,1504014,3UTR,1503693,1504253,LOC_Os01g03650
Chr1,+,1510979,intron,1510538,1511986,LOC_Os01g03660
Chr1,+,1512784,3UTR,1512315,1513052,LOC_Os01g03660
Chr1,+,1512853,3UTR,1512315,1513052,LOC_Os01g03660
Chr1,+,1516715,3UTR,1516418,1517132,LOC_Os01g03680
Chr1,+,1516833,3UTR,1516418,1517132,LOC_Os01g03680
Chr1,+,1521611,3UTR,1521451,1521944,LOC_Os01g03690
Chr1,+,1535669,intron,1534826,1537227,LOC_Os01g03710
Chr1,+,1539414,3UTR,1539268,1539927,LOC_Os01g03710
Chr1,+,1539600,3UTR,1539268,1539927,LOC_Os01g03710
Chr1,-,1549155,3UTR,1548929,1549637,LOC_Os01g03720
Chr1,+,1569471,3UTR,1569124,1569772,LOC_Os01g03730
Chr1,-,1562633,3UTR,1562312,1562778,LOC_Os01g03740
Chr1,-,1569665,3UTR,1569285,1569741,LOC_Os01g03750
Chr1,-,1571528,3UTR,1571120,1571941,LOC_Os01g03760
Chr1,-,1597638,3UTR,1597186,1597927,LOC_Os01g03810
Chr1,+,1626826,3UTR,1626575,1627071,LOC_Os01g03840
Chr1,-,1641309,3UTR,1640934,1641580,LOC_Os01g03870
Chr1,+,1658483,3UTR,1658389,1659036,LOC_Os01g03890
Chr1,+,1658601,3UTR,1658389,1659036,LOC_Os01g03890
Chr1,-,1670318,3UTR,1670022,1670630,LOC_Os01g03900
Chr1,-,1673606,3UTR,1672710,1673836,LOC_Os01g03914
Chr1,-,1676501,intron,1675363,1680245,LOC_Os01g03914
Chr1,-,1684444,3UTR,1684441,1685426,LOC_Os01g03940
Chr1,-,1685153,3UTR,1684441,1685426,LOC_Os01g03940
Chr1,+,1702737,3UTR,1702640,1703390,LOC_Os01g03950
Chr1,+,1702803,3UTR,1702640,1703390,LOC_Os01g03950
Chr1,-,1709633,3UTR,1709591,1710238,LOC_Os01g03970
Chr1,-,1712136,3UTR,1711630,1712326,LOC_Os01g03980
Chr1,+,1739807,3UTR,1739493,1740140,LOC_Os01g04010
Chr1,+,1747007,5UTR,1746867,1747087,LOC_Os01g04020
Chr1,+,1748439,3UTR,1748105,1748849,LOC_Os01g04020
Chr1,+,1754390,5UTR,1754332,1754393,LOC_Os01g04030
Chr1,+,1757580,3UTR,1757382,1758028,LOC_Os01g04030
Chr1,-,1760204,3UTR,1759840,1760487,LOC_Os01g04050
Chr1,-,1771509,3UTR,1771069,1771621,LOC_Os01g04080
Chr1,-,1775879,3UTR,1775617,1776316,LOC_Os01g04090
Chr1,-,1776023,3UTR,1775617,1776316,LOC_Os01g04090
Chr1,+,1782382,3UTR,1782018,1782686,LOC_Os01g04100
Chr1,-,1787915,3UTR,1787570,1788183,LOC_Os01g04110
Chr1,-,1788072,3UTR,1787570,1788183,LOC_Os01g04110
Chr1,-,1802017,3UTR,1801624,1802334,LOC_Os01g04120
Chr1,-,1804071,intron,1803331,1804285,LOC_Os01g04120
Chr1,-,1804176,intron,1803331,1804285,LOC_Os01g04120
Chr1,+,1837698,3UTR,1837412,1838033,LOC_Os01g04160
Chr1,-,1838219,3UTR,1837870,1838521,LOC_Os01g04170
Chr1,+,1844732,intron,1844510,1845582,LOC_Os01g04190
Chr1,+,1848952,3UTR,1848752,1849486,LOC_Os01g04190
Chr1,+,1849103,3UTR,1848752,1849486,LOC_Os01g04190
Chr1,+,1855402,intron,1854775,1855578,LOC_Os01g04200
Chr1,+,1856117,3UTR,1856034,1856603,LOC_Os01g04200
Chr1,+,1856256,3UTR,1856034,1856603,LOC_Os01g04200
Chr1,+,1856529,3UTR,1856034,1856603,LOC_Os01g04200
Chr1,+,1858632,3UTR,1858453,1859100,LOC_Os01g04210
Chr1,+,1858827,3UTR,1858453,1859100,LOC_Os01g04210
Chr1,+,1866294,3UTR,1866110,1866757,LOC_Os01g04220
Chr1,+,1870393,3UTR,1870154,1870690,LOC_Os01g04230
Chr1,+,1892237,3UTR,1891921,1892598,LOC_Os01g04260
Chr1,+,1905004,3UTR,1904774,1905547,LOC_Os01g04280
Chr1,+,1905241,3UTR,1904774,1905547,LOC_Os01g04280
Chr1,-,1906719,3UTR,1906330,1906977,LOC_Os01g04290
Chr1,-,1912616,3UTR,1912261,1912819,LOC_Os01g04300
Chr1,+,1930275,3UTR,1929912,1930590,LOC_Os01g04324
Chr1,-,1931017,3UTR,1930694,1931275,LOC_Os01g04330
Chr1,+,1934820,3UTR,1934700,1935348,LOC_Os01g04340
Chr1,+,1934986,3UTR,1934700,1935348,LOC_Os01g04340
Chr1,+,1941878,3UTR,1941650,1942253,LOC_Os01g04350
Chr1,-,1944253,3UTR,1943947,1944472,LOC_Os01g04360
Chr1,-,1948772,3UTR,1948437,1949004,LOC_Os01g04370
Chr1,+,1952623,3UTR,1952500,1953071,LOC_Os01g04380
Chr1,+,1952682,3UTR,1952500,1953071,LOC_Os01g04380
Chr1,-,1955180,3UTR,1954848,1955413,LOC_Os01g04390
Chr1,-,1958012,3UTR,1957477,1958103,LOC_Os01g04409
Chr1,-,1977298,3UTR,1977123,1977644,LOC_Os01g04450
Chr1,-,1977422,3UTR,1977123,1977644,LOC_Os01g04450
Chr1,+,1986514,3UTR,1986395,1987042,LOC_Os01g04460
Chr1,+,1997008,3UTR,1996858,1997505,LOC_Os01g04480
Chr1,-,2003076,3UTR,2002919,2003362,LOC_Os01g04500
Chr1,-,2003234,3UTR,2002919,2003362,LOC_Os01g04500
Chr1,-,2003340,3UTR,2002919,2003362,LOC_Os01g04500
Chr1,+,2038171,3UTR,2037900,2038498,LOC_Os01g04550
Chr1,+,2052515,3UTR,2052369,2052821,LOC_Os01g04570
Chr1,+,2057637,3UTR,2057415,2057938,LOC_Os01g04580
Chr1,+,2062009,3UTR,2061939,2062577,LOC_Os01g04590
Chr1,+,2062171,3UTR,2061939,2062577,LOC_Os01g04590
Chr1,-,2063614,3UTR,2063312,2063866,LOC_Os01g04600
Chr1,-,2063684,3UTR,2063312,2063866,LOC_Os01g04600
Chr1,+,2073587,3UTR,2073531,2073921,LOC_Os01g04620
Chr1,+,2073751,3UTR,2073531,2073921,LOC_Os01g04620
Chr1,-,2074478,3UTR,2074453,2075094,LOC_Os01g04630
Chr1,-,2074820,3UTR,2074453,2075094,LOC_Os01g04630
Chr1,-,2074912,3UTR,2074453,2075094,LOC_Os01g04630
Chr1,+,2081503,3UTR,2081304,2081840,LOC_Os01g04640
Chr1,-,2083554,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,-,2083677,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,-,2083803,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,-,2084015,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,-,2084536,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,-,2084783,3UTR,2083381,2084972,LOC_Os01g04650
Chr1,+,2099612,intron,2099393,2099785,LOC_Os01g04660
Chr1,+,2100482,3UTR,2100392,2100994,LOC_Os01g04660
Chr1,+,2100969,3UTR,2100392,2100994,LOC_Os01g04660
Chr1,-,2101974,3UTR,2101574,2102297,LOC_Os01g04670
Chr1,-,2108960,CDS,2108947,2109010,LOC_Os01g04690
Chr1,+,2122321,3UTR,2122034,2122666,LOC_Os01g04710
Chr1,+,2137294,3UTR,2136768,2137610,LOC_Os01g04720
Chr1,+,2138556,intron,2138332,2138860,LOC_Os01g04730
Chr1,+,2138866,3UTR,2138861,2139296,LOC_Os01g04730
Chr1,+,2155847,3UTR,2155280,2156294,LOC_Os01g04750
Chr1,+,2203789,3UTR,2203502,2204160,LOC_Os01g04800
Chr1,-,2215375,3UTR,2215286,2215922,LOC_Os01g04814
Chr1,-,2215654,3UTR,2215286,2215922,LOC_Os01g04814
Chr1,-,2225509,3UTR,2225352,2225999,LOC_Os01g04840
Chr1,+,2250494,3UTR,2250094,2250876,LOC_Os01g04860
Chr1,+,2250588,3UTR,2250094,2250876,LOC_Os01g04860
Chr1,+,2250795,3UTR,2250094,2250876,LOC_Os01g04860
Chr1,-,2250837,3UTR,2250520,2251103,LOC_Os01g04870
Chr1,+,2265961,3UTR,2265726,2267208,LOC_Os01g04880
Chr1,+,2266154,3UTR,2265726,2267208,LOC_Os01g04880
Chr1,-,2266338,3UTR,2265177,2266649,LOC_Os01g04900
Chr1,-,2266542,3UTR,2265177,2266649,LOC_Os01g04900
Chr1,+,2273212,intron,2273001,2273301,LOC_Os01g04910
Chr1,+,2273703,3UTR,2273302,2274057,LOC_Os01g04910
Chr1,+,2273850,3UTR,2273302,2274057,LOC_Os01g04910
Chr1,+,2273963,3UTR,2273302,2274057,LOC_Os01g04910
Chr1,+,2278785,3UTR,2278579,2279172,LOC_Os01g04920
Chr1,-,2281912,3UTR,2281234,2282535,LOC_Os01g04930
Chr1,-,2282009,3UTR,2281234,2282535,LOC_Os01g04930
Chr1,-,2282425,3UTR,2281234,2282535,LOC_Os01g04930
Chr1,+,2298109,3UTR,2297971,2298707,LOC_Os01g04950
Chr1,+,2298211,3UTR,2297971,2298707,LOC_Os01g04950
Chr1,-,2350002,3UTR,2349619,2350335,LOC_Os01g04990
Chr1,-,2352926,intron,2351717,2353227,LOC_Os01g04990
Chr1,-,2357876,3UTR,2357469,2358084,LOC_Os01g05010
Chr1,-,2374470,3UTR,2374172,2374763,LOC_Os01g05060
Chr1,-,2377271,3UTR,2377022,2377626,LOC_Os01g05064
Chr1,-,2378810,3UTR,2378510,2379207,LOC_Os01g05070
Chr1,-,2383610,3UTR,2383230,2383820,LOC_Os01g05080
Chr1,+,2388485,3UTR,2388290,2388911,LOC_Os01g05090
Chr1,-,2388418,3UTR,2387908,2388941,LOC_Os01g05100
Chr1,-,2388560,3UTR,2387908,2388941,LOC_Os01g05100
Chr1,-,2388711,3UTR,2387908,2388941,LOC_Os01g05100
Chr1,-,2400756,3UTR,2400297,2400944,LOC_Os01g05120
Chr1,+,2405832,3UTR,2405688,2406282,LOC_Os01g05130
Chr1,+,2407364,intron,2406695,2407667,LOC_Os01g05140
Chr1,+,2408052,3UTR,2407807,2408367,LOC_Os01g05140
Chr1,+,2415051,3UTR,2414691,2415372,LOC_Os01g05150
Chr1,+,2438314,3UTR,2438128,2439074,LOC_Os01g05180
Chr1,+,2438715,3UTR,2438128,2439074,LOC_Os01g05180
Chr1,+,2453149,intron,2452905,2453396,LOC_Os01g05220
Chr1,+,2466266,3UTR,2465815,2466462,LOC_Os01g05240
Chr1,+,2475094,intron,2474891,2475122,LOC_Os01g05250
Chr1,-,2477764,3UTR,2477428,2478075,LOC_Os01g05260
Chr1,-,2477836,3UTR,2477428,2478075,LOC_Os01g05260
Chr1,+,2487991,3UTR,2487987,2488634,LOC_Os01g05280
Chr1,+,2489053,intron,2488708,2490799,LOC_Os01g05289
Chr1,+,2491085,3UTR,2490818,2491733,LOC_Os01g05289
Chr1,+,2491277,3UTR,2490818,2491733,LOC_Os01g05289
Chr1,+,2491355,3UTR,2490818,2491733,LOC_Os01g05289
Chr1,+,2491446,3UTR,2490818,2491733,LOC_Os01g05289
Chr1,-,2504693,intron,2504658,2506798,LOC_Os01g05320
Chr1,+,2521340,intron,2520727,2521349,LOC_Os01g05340
Chr1,+,2532950,3UTR,2532476,2533123,LOC_Os01g05350
Chr1,+,2551621,intron,2551334,2551954,LOC_Os01g05400
